name,px_left,px_top,px_bottom,px_right
nmx3676c_1,4700,1600,7060,114800
nmx3676c_2,4680,2040,6350,114780
nmx3668c_1,5625,700,6790,115500
nmx3668c_2,5602,1773,5670,115477
nmx3677d_1,5086,950,6891,113940
nmx3677d_2,5064,1882,6000,113918
nmx3669c_1,5709,1670,6604,114100
nmx3669c_2,5684,1591,5992,114075
nmx3673c_1,6302,530,7161,114360
nmx3673c_2,6276,2145,5000,114334
nmx3681c_1,3662,1440,6943,112692
nmx3681c_2,3636,1930,6500,112666
nmx3682c_1,2472,2290,6360,111790
nmx3682c_2,2449,1350,6900,111767
nmx3685c_1,5294,1000,6839,112500
nmx3685c_2,5267,1824,5430,112473
nmx3674c_1,5486,1230,6564,115200
nmx3674c_2,5461,1555,6170,115175
nmx3686c_1,5424,1000,6725,114500
nmx3686c_2,5400,1712,4512,114476
nmx3680b_1,4344,1750,6624,113860
nmx3680b_2,4302,1610,6420,113818
nmx3670b_1,7240,1500,7047,114130
nmx3670b_2,7216,2034,4400,114106
nmx3671b_1,7098,1400,6930,115425
nmx3671b_2,7075,1923,5600,115402
nmx3661b_1,4790,350,8192,114600
nmx3664e_1,4972,650,6749,115320
nmx3664e_2,4948,1733,5080,115296
nmx3667a_1,6619,1000,7128,114900
nmx3667a_2,6595,2111,5000,114876
nmx3650c_1,7944,500,6586,117802
nmx3650c_2,7923,1575,4966,117781
nmx3652b_1,8107,880,5968,118565
nmx3652b_2,8084,949,3362,118542
nmx3653b_1,9328,760,5078,117951
nmx3653b_2,9304,59,3790,117927
nmx3655c_1,9397,440,5849,118890
nmx3655c_2,9379,840,4182,118872
nmx3656c_1,8095,557,6145,118151
nmx3656c_2,8073,1121,5467,118129
nmx3657b_1,9154,630,5955,118705
nmx3657b_2,9132,949,5950,118683
nmx3659b_1,8618,0,5465,118330
nmx3659b_2,8594,457,5060,118306
nmx3662b_1,8149,1200,6179,117607
nmx3662b_2,8126,1165,4910,117584
nmx3663b_1,8118,1200,6051,118336
nmx3663b_2,8094,1046,5920,118312
nmx3651b_1,10283,1560,5915,118600
nmx3651b_2,10259,896,5480,118576
nmx3665b_1,9430,1020,8192,118652
nmx3645c_1,10630,1000,8192,118790
nmx3649c_1,9566,1400,5924,118820
nmx3649c_2,9542,908,5070,118796
nmx3647b_1,10060,1040,5946,118552
nmx3647b_2,10036,945,6060,118528
nmx3644b_1,8371,690,6266,118594
nmx3644b_2,8347,1251,6120,118570
nmx3646b_1,8785,872,6592,119015
nmx3646b_2,8760,1573,5753,118990
nmx3643b_1,10045,1430,6826,118645
nmx3643b_2,10021,1810,5780,118621
nmx3642c_1,8311,1200,6406,59020
nmx3642c_2,8286,1385,6027,58995
nmx3642b_1,59023,888,6814,117782
nmx3642b_2,58998,1784,5950,117757
nmx3658b_1,4903,700,5188,114776
nmx3658b_2,4881,180,4900,114754
nmx3684b_1,5085,2468,6876,113742
nmx3684b_2,5062,1865,6200,113719
nmx3667b_1,6574,3250,6611,115044
nmx3667b_2,6555,1593,5100,115025
nmx3664d_1,5460,800,6360,115544
nmx3664d_2,5435,1338,5360,115519
